product_id,model,review_period,order_quantity,reorder_point,order_up_to,cycle_service_level,fill_rate,total_cost_per_period,holding_cost,ordering_cost,backorder_cost
SKU-A,RS_optimal,4.0,,,674.9121974139963,0.8999999999999999,0.9936221407839351,621.433574188523,339.26524676749534,250.0,32.168327421027655
SKU-A,sQ_optimal,,416.9828727011333,241.37909059523696,,0.8966585323853767,0.9962928605764019,570.7649541204629,310.1506586822545,241.91641097043515,18.69788446777325
SKU-B,RS_optimal,3.0,,,1405.6170615610504,0.925,0.9962665896751399,1016.0481477009774,634.8338269513131,333.3333333333333,47.8809874163311
SKU-B,sQ_optimal,,664.6604316063678,594.9929191901563,,0.9352182882771568,0.9976996938437945,933.316688495655,517.9039187416753,385.91134330064517,29.501426453334552
